國家,經度,緯度
莫三比克,32.42,-26.10
馬布多,32.42,-26.10
辛巴威,31.03,-17.50
哈拉雷,31.03,-17.50
盧旺達,30.04,-1.57
基加里,30.04,-1.57
尚比亞,28.17,-15.25
盧薩卡,28.17,-15.25
薩伊,15.18,-4.18
金沙薩,15.18,-4.18
剛果,15.17,-4.16
布拉柴維爾,15.17,-4.16
安哥拉,13.30,-9.00
羅安達,13.30,-9.00
南非,18.28,-35.56
開普敦,18.28,-35.56
約翰尼斯堡,28.00,-26.15
馬達加斯加,47.30,-18.58
安塔那那利佛,47.30,-18.58
紐西蘭,174.45,36.53
奧克蘭,174.45,36.53
澳大利亞,153.02,27.28
布里斯班,153.02,27.28
坎培拉,149.08,35.17
墨爾本,144.58,37.49
巴布亞新幾內亞,147.10,9.30
莫爾茲比港,147.10,9.30
所羅門群島,159.57,9.27
霍尼亞拉,159.57,9.27
斐濟,178.25,18.08
蘇瓦,178.25,18.08
俄羅斯,131.56,43.10
符拉迪沃斯托克,131.56,43.10
亞庫次克,129.49,62.13
布拉戈維申斯克,127.32,50.17
喀山,49.08,55.45
阿爾漢格爾斯克,40.32,64.34
莫斯科,37.35,55.45
摩爾曼斯克,33.05,68.58
斯摩棱斯克,32.03,54.47
聖彼德堡,30.15,59.55
白俄羅斯,27.34,53.54
明斯克,27.34,53.54
烏克蘭,30.31,50.26
基輔,30.31,50.26
莫爾達瓦,28.50,47.00
基希訥烏,28.50,47.00
立陶宛,25.19,54.41
維爾紐斯,25.19,54.41
愛沙尼亞,24.55,59.25
塔林,24.55,59.25
日本,139.46,35.42
大阪,135.3,34.4 
廣島,132.27,34.24 
奈良,135.5,34.41 
東京,139.46,35.42
橫濱,139.39,35.27
千葉,140.07,35.36
名古屋,136.55,35.1
京都,135.45,35
神戶,135.1,34.41
長野,138.11,36.39
台灣,121.31,25.03
臺灣,121.31,25.03
台北,121.31,25.03
臺北,121.31,25.03
土耳其,28.58,41.01
伊斯坦堡,28.58,41.01
安卡拉,32.52,39.56
香港,114.1,22.2
泰國,100.31,13.45
曼谷,100.31,13.45
清邁,98.58,18.46
敘利亞,36.18,33.3
大馬士革,36.18,33.3
印度尼西亞,106.48,-6.1
雅加達,106.48,-6.1
印度,77.12,28.36
新德里,77.12,28.36
德里,77.13,28.4
加爾各答,88.22,22.32
孟買,72.5,18.58
博帕爾,77.24,23.16
