國家    城市    經度     緯度    時區
      剛果       布拉柴維爾    15.17   -4.16    +１
      安哥拉      羅安達      13.30   -9.00    +１
      南非       開普敦      18.28   -35.56    +２
      南非       約翰尼斯堡    28.00   -26.15    +２
      馬達加斯加    安塔那那利佛    47.30   -18.58    +３
           紐西蘭       奧克蘭     174.45   36.53   +１２
      澳大利亞      布里斯班    153.02   27.28   +１０
      澳大利亞      坎培拉     149.08   35.17   +１０
      澳大利亞      墨爾本     144.58   37.49   +１０
      巴布亞新幾內亞   莫爾茲比港   147.10    9.30    +１０
      所羅門群島     霍尼亞拉    159.57    9.27    +１１
      斐濟        蘇瓦      178.25   18.08   +１２
      俄羅斯     符拉迪沃斯托克    131.56   43.10   +１０
      俄羅斯     亞庫次克       129.49   62.13   +１０
      俄羅斯     布拉戈維申斯克    127.32   50.17   +９
      俄羅斯     喀山          49.08    55.45   +４
      俄羅斯     阿爾漢格爾斯克     40.32    64.34   +４
      俄羅斯     莫斯科         37.35    55.45   +３
      俄羅斯     摩爾曼斯克       33.05    68.58   +３
      俄羅斯     斯摩棱斯克       32.03    54.47   +３
      俄羅斯     聖彼德堡        30.15    59.55   +３
      白俄羅斯    明斯克         27.34    53.54   +３
      烏克蘭     基輔          30.31    50.26   +３
      莫爾達瓦    基希訥烏        28.50    47.00   +２
      立陶宛     維爾紐斯        25.19    54.41   +２
      愛沙尼亞    塔林          24.55    59.25   +２ 

